Numero de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
229;ETD;28/11/2016 00:00;90;+43.547154;+6.792290
230;ETD;25/01/2017 00:00;80;+42.76709;+2.89969
231;ETD;28/11/2016 00:00;80;+47.67987;-1.46141
232;ETD;25/04/2016 00:00;90;+45.49753;+3.2555
233;ETD;13/07/2016 00:00;90;+43.50612;+5.50822
234;ETD;24/06/2016 00:00;80;+42.5381;+3.0272
235;ETD;28/11/2016 00:00;90;+47.73548;+5.19463
236;ETD;22/04/2016 00:00;90;+45.49594;+6.0632
237;ETD;13/07/2016 00:00;80;+49.3546;+1.0827
238;ETD;25/07/2016 15:00;80;+49.071160;+2.245657
239;ETD;24/10/2016 00:00;90;+48.192497;+0.830108
240;ETD;16/08/2016 00:00;90;+43.460183;+6.710958
241;ETD;08/12/2016 00:00;90;+48.16998;+4.325
242;ETD;10/10/2016 00:00;80;+48.15867;+6.48605
243;ETD;19/01/2017 00:00;90;+47.075636;+2.274846
244;ETD;08/08/2016 00:00;80;+48.730205;+3.906032
245;ETD;23/09/2016 00:00;90;+46.35551;+2.80366
246;ETD;30/01/2017 00:00;80;+45.73042;-0.62311
247;ETD;06/07/2016 00:00;90;+47.74799;+1.53901
248;ETD;30/09/2016 00:00;90;+47.89004;+1.85813
249;ETD;19/12/2016 00:00;80;+47.054358;-0.920699
250;ETD;16/12/2016 00:00;90;+48.66979;+5.91715
251;ETD;28/04/2017 00:00;90;+48.57917;+2.63788
252;ETD;20/01/2017 00:00;90;+49.984758;+1.683684
253;ETD;26/07/2019 00:00;80;+47.60119;+6.85632
254;ETD;25/07/2016 00:00;80;+48.7037;+2.44358
255;ETD;02/06/2017 00:00;90;+48.2659;+1.853232
256;ETD;24/12/2016 00:00;90;+47.1883;+2.16616
257;ETD;23/09/2016 00:00;90;+46.466869;+4.880695
258;ETD;19/08/2016 00:00;90;+44.70121;+3.28069
259;ETD;03/10/2016 00:00;80;+50.4485;+2.58465
260;ETD;13/07/2017 00:00;80;+49.263593;-0.380193
261;ETD;20/02/2017 00:00;90;+44.057823;+0.872815
262;ETD;07/10/2016 00:00;90;+45.11091;+3.13624
263;ETD;28/11/2016 00:00;80;+48.78852;+1.626852
264;ETD;07/10/2016 00:00;90;+45.1108;+3.13646
265;ETD;18/11/2016 00:00;80;+47.968851;-3.987875
266;ETD;19/12/2016 00:00;80;+48.452766;-4.377201
267;ETD;08/09/2016 00:00;80;+50.38616;+1.87375
268;ETD;07/11/2016 00:00;90;+50.86398;+1.7402
269;ETD;05/05/2017 00:00;80;+44.35525;+1.46052
270;ETD;28/11/2016 00:00;90;+47.100058;-1.472823
271;ETD;27/01/2017 00:00;80;+43.507483;+4.860097
272;ETD;11/07/2016 00:00;80;+50.319937;+3.60362
273;ETD;28/11/2016 00:00;90;+45.8752;+3.64095
274;ETD;25/07/2016 00:00;90;+46.38436;-0.36723
275;ETD;14/01/2020 00:00;90;+47.739045;+3.731561
276;ETD;26/09/2016 00:00;80;+48.3351;+6.8941
277;ETD;23/09/2016 00:00;80;+48.99326;+1.193836
278;ETD;12/08/2016 00:00;90;+45.370988;+5.491938
279;ETD;19/12/2016 00:00;90;+48.26498;+1.85251
280;ETD;06/10/2016 00:00;90;+43.512;+5.45668
281;ETD;24/10/2016 00:00;90;+48.192203;+0.830547
282;ETD;26/01/2018 00:00;90;+47.27503;-1.54031
283;ETD;31/10/2016 00:00;90;+48.176329;+5.730118
284;ETD;14/11/2016 00:00;80;+42.689842;+2.826943
285;ETD;17/10/2016 00:00;80;+48.101714;-1.436677
286;ETD;29/12/2016 00:00;80;+48.3295;+4.1133
287;ETD;05/12/2016 00:00;90;+48.3647;+4.16042
288;ETD;12/08/2016 00:00;90;+45.469651;+5.4011
289;ETD;07/11/2016 00:00;80;+42.6081;+2.98456
290;ETD;02/12/2016 00:00;90;+48.27298;+3.8951
291;ETD;25/07/2016 00:00;80;+48.011707;-1.59979
292;ETD;05/06/2020 00:00;80;+48.460773;+6.24245
293;ETD;14/11/2016 00:00;80;+42.706584;+2.987414
294;ETD;10/10/2016 00:00;90;+49.85744;+2.41556
295;ETD;25/07/2016 00:00;90;+48.7129;+2.308
296;ETD;01/10/2021 12:45;90;+45.58921;+4.81075
297;ETD;31/10/2016 00:00;90;+46.464858;+4.878883
298;ETD;24/03/2017 00:00;90;+47.773558;+7.362957
