Numéro de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
FE195007;ETFR;22/03/2010 00:00;NA;+48.95370;+2.25439
FE195008;ETFR;18/06/2010 00:00;NA;+48.95617;+2.27969
FE195009;ETFR;04/10/2010 00:00;NA;+48.95642;+2.28088
FE195010;ETFR;02/06/2010 00:00;NA;+48.99120;+2.18182
FE195011;ETFR;22/03/2010 00:00;NA;+48.99100;+2.18183
FE195018;ETFR;05/02/2010 00:00;NA;+49.01393;+2.09006
FE195019;ETFR;09/04/2010 00:00;NA;+48.99406;+2.19514
FE195020;ETFR;22/03/2010 00:00;NA;+48.99453;+2.19419
FE195021;ETFR;13/12/2010 00:00;NA;+49.01540;+2.07466
FE195022;ETFR;13/12/2010 00:00;NA;+49.01594;+2.07395
FE195023;ETFR;10/01/2011 00:00;NA;+49.04332;+2.01828
FE195024;ETFR;06/07/2011 00:00;NA;+49.03172;+2.07386
FE195025;ETFR;10/01/2011 00:00;NA;+49.04758;+2.05243
FE195026;ETFR;24/01/2011 00:00;NA;+49.04205;+2.09038
FE195029;ETFR;24/01/2011 00:00;NA;+49.01345;+2.02760
FE195031;ETFR;18/04/2011 00:00;NA;+49.01058;+2.02921
FE195032;ETFR;25/10/2011 00:00;NA;+49.03508;+2.03056
FE195036;ETFR;13/12/2010 00:00;NA;+49.02326;+2.11038
FE195037;ETFR;24/01/2011 00:00;NA;+49.04004;+2.11504
FE195038;ETFR;05/01/2011 00:00;NA;+48.99505;+2.37904
FE195039;ETFR;05/01/2011 00:00;NA;+49.04268;+2.01788
FE195040;ETFR;10/01/2011 00:00;NA;+49.05490;+2.01539
FE195042;ETFR;21/03/2011 00:00;NA;+49.01019;+2.02831
FE203100;ETT;22/06/2020 00:00;NA;+46.139949;+3.415280
FE203154;ETT;09/06/2021 00:00;NA;+46.170614;+3.397031
FE204184;ETT;16/05/2022 16:35;NA;+43.827996;+5.787265
FE206001;ETFR;25/06/2010 00:00;NA;+43.55078;+6.99930
FE206006;ETFR;05/03/2010 00:00;NA;+43.65640;+7.15538
FE206009;ETFR;02/07/2010 00:00;NA;+43.70104;+7.28703
FE206014;ETFR;02/07/2010 00:00;NA;+43.70066;+7.28726
FE206015;ETFR;19/11/2010 00:00;NA;+43.65658;+7.17826
FE206031;ETFR;28/04/2011 00:00;NA;+43.65045;+7.15156
FE206034;ETFR;25/11/2011 00:00;NA;+43.70048;+7.25156
FE206185;ETT;20/10/2022 14:55;NA;+43.693911;+7.256767
FE206186;ETT;21/09/2022 00:00;NA;+43.656760;+7.179136
FE206197;ETT;13/02/2023 15:05;NA;+43.731153;+7.286346
FE206198;ETT;15/09/2022 17:30;NA;+43.725084;+7.401035
FE206199;ETT;16/09/2022 09:35;NA;+43.731016;+7.286627
FE206200;ETT;28/10/2022 00:00;NA;+43.650501;+7.151462
FE206201;ETT;23/12/2022 00:00;NA;+43.571907;+7.107625
FE206202;ETT;03/01/2023 00:00;NA;+43.654486;+7.158090
FE206209;ETT;05/04/2023 00:00;NA;+43.550625;+6.994097
FE213026;ETFR;15/11/2010 00:00;NA;+43.67508;+4.63182
FE213027;ETFR;19/11/2010 00:00;NA;+43.28414;+5.38485
FE213030;ETFR;12/11/2010 00:00;NA;+43.33331;+5.39910
FE213043;ETFR;26/12/2012 00:00;NA;+43.41124;+5.30560
FE213045;ETFR;21/06/2012 00:00;NA;+43.80767;+4.99503
FE213055;ETFR;01/03/2012 00:00;NA;+43.39546;+5.34340
FE213103;ETT;08/01/2021 09:50;NA;+43.347046;+5.378856
FE213105;ETT;11/03/2021 00:00;NA;+43.645772;+5.577236
FE213112;ETT;09/04/2021 00:00;NA;+43.869036;+4.836211
FE213126;ETT;18/03/2022 11:10;NA;+43.313695;+5.40533
FE213127;ETT;09/04/2021 00:00;NA;+43.333774;+5.398834
FE213133;ETT;08/01/2021 14:10;NA;+43.190628;+5.641404
FE213139;ETT;21/04/2021 14:15;NA;+43.41407;+5.05721
FE213140;ETT;09/02/2022 00:00;NA;+43.413664;+5.213532
FE213141;ETT;30/04/2021 10:00;NA;+43.544844;+5.041319
FE213142;ETT;09/06/2021 16:00;NA;+43.888041;+4.854766
FE213144;ETT;01/04/2021 10:50;NA;+43.807246;+4.995093
FE213145;ETT;09/04/2021 00:00;NA;+43.28790;+5.62329
FE213146;ETT;01/04/2021 10:55;NA;+43.410837;+4.983310
